user_id,txn_date,txn_type,amount_vnd,status
U00007,2024-02-03 19:00:00,savings_deposit,655000,success
U00007,2024-02-20 13:00:00,card_payment,338000,success
U00007,2024-03-16 14:00:00,transfer,1882000,success
U00009,2024-04-07 10:00:00,card_payment,3607000,success
U00009,2024-04-13 19:00:00,loan_repayment,9551000,success
U00009,2024-04-16 07:00:00,card_payment,5120000,success
U00009,2024-04-19 22:00:00,loan_repayment,2306000,success
U00009,2024-05-07 01:00:00,loan_repayment,4232000,success
U00009,2024-05-08 19:00:00,loan_repayment,244000,success
U00009,2024-05-16 06:00:00,card_payment,7037000,success
U00009,2024-05-23 09:00:00,loan_repayment,3805000,success
U00012,2024-04-05 15:00:00,card_payment,439000,success
U00012,2024-04-11 23:00:00,qr_payment,4958000,success
U00012,2024-04-13 02:00:00,card_payment,5804000,success
U00012,2024-04-14 23:00:00,qr_payment,5718000,success
U00012,2024-04-18 12:00:00,card_payment,379000,success
U00012,2024-04-19 23:00:00,transfer,4236000,success
U00012,2024-04-23 02:00:00,transfer,1347000,success
U00012,2024-04-23 21:00:00,card_payment,8302000,success
U00012,2024-04-24 12:00:00,savings_deposit,9276000,success
U00012,2024-04-26 12:00:00,bill_payment,9493000,success
U00012,2024-04-27 22:00:00,bill_payment,8770000,success
U00012,2024-05-02 04:00:00,bill_payment,7118000,success
U00012,2024-05-06 19:00:00,bill_payment,2851000,success
U00012,2024-05-08 21:00:00,savings_deposit,380000,success
U00012,2024-05-20 21:00:00,card_payment,9117000,success
U00012,2024-05-21 13:00:00,bill_payment,5543000,success
U00012,2024-05-24 21:00:00,qr_payment,9920000,success
U00012,2024-05-31 04:00:00,card_payment,7646000,success
U00012,2024-06-01 18:00:00,loan_repayment,8354000,success
U00013,2024-04-30 14:00:00,transfer,31396000,success
U00013,2024-05-04 13:00:00,bill_payment,49301000,success
U00013,2024-05-24 08:00:00,bill_payment,43133000,success
U00013,2024-06-01 12:00:00,bill_payment,49892000,success
U00013,2024-06-05 16:00:00,qr_payment,32283000,success
U00013,2024-06-09 12:00:00,transfer,44940000,success
U00015,2024-01-25 18:00:00,transfer,5869000,failed
U00017,2024-03-05 04:00:00,loan_repayment,1763000,failed
U00017,2024-03-05 10:00:00,loan_repayment,1041000,success
U00017,2024-03-07 19:00:00,transfer,596000,success
U00017,2024-03-15 08:00:00,card_payment,1603000,success
U00017,2024-03-25 13:00:00,loan_repayment,1808000,success
U00017,2024-03-27 09:00:00,loan_repayment,288000,success
U00017,2024-03-30 12:00:00,loan_repayment,840000,success
U00017,2024-04-11 10:00:00,loan_repayment,1568000,success
