user_id,is_active_d30,is_active_d60,churn_flag
U00001,False,False,True
U00002,False,False,True
U00003,False,False,True
U00004,False,False,True
U00005,False,False,True
U00006,False,False,True
U00007,True,True,False
U00008,False,False,True
U00009,False,False,True
U00010,False,False,True
U00011,False,False,True
U00012,True,True,False
U00013,False,False,True
U00014,False,False,True
U00015,False,False,True
U00016,False,False,True
U00017,True,True,False
U00018,False,False,True
U00019,False,False,True
U00020,False,False,True
U00021,True,True,False
U00022,False,False,True
U00023,False,False,True
U00024,False,False,True
U00025,False,False,True
U00026,True,True,False
U00027,True,True,False
U00028,False,False,True
U00029,True,True,False
U00030,True,False,True
U00031,False,False,True
U00032,False,False,True
U00033,True,False,True
U00034,False,False,True
U00035,False,False,True
U00036,False,False,True
U00037,False,False,True
U00038,False,False,True
U00039,False,False,True
U00040,True,True,False
U00041,False,False,True
U00042,True,True,False
U00043,False,False,True
U00044,False,False,True
U00045,False,False,True
U00046,True,True,False
U00047,True,True,False
U00048,True,True,False
U00049,False,False,True
U00050,False,False,True
U00051,False,False,True
U00052,False,False,True
U00053,True,True,False
U00054,False,False,True
U00055,False,False,True
U00056,False,False,True
U00057,False,False,True
U00058,False,False,True
U00059,True,False,True
U00060,False,False,True
U00061,False,False,True
U00062,False,False,True
U00063,False,False,True
U00064,False,False,True
U00065,True,True,False
U00066,False,False,True
U00067,False,False,True
U00068,False,False,True
U00069,False,False,True
U00070,False,False,True
U00071,False,False,True
U00072,False,False,True
U00073,False,False,True
U00074,False,False,True
U00075,False,False,True
U00076,False,False,True
U00077,False,False,True
U00078,False,False,True
U00079,True,False,True
U00080,False,False,True
U00081,False,False,True
U00082,False,False,True
U00083,False,False,True
U00084,False,False,True
U00085,False,False,True
U00086,False,False,True
U00087,False,False,True
U00088,False,False,True
U00089,False,False,True
U00090,False,False,True
U00091,False,False,True
U00092,False,False,True
U00093,True,True,False
U00094,True,False,True
U00095,False,False,True
U00096,False,False,True
U00097,True,True,False
U00098,False,False,True
U00099,True,False,True
U00100,True,True,False
U00101,False,False,True
U00102,False,False,True
U00103,False,False,True
U00104,False,False,True
U00105,False,False,True
U00106,False,False,True
U00107,False,False,True
U00108,True,True,False
U00109,False,False,True
U00110,False,False,True
U00111,False,False,True
U00112,False,False,True
U00113,False,False,True
U00114,False,False,True
U00115,False,False,True
U00116,True,True,False
U00117,False,False,True
U00118,False,False,True
U00119,False,False,True
U00120,False,False,True
U00121,False,False,True
U00122,True,True,False
U00123,False,False,True
U00124,False,False,True
U00125,False,False,True
U00126,True,False,True
U00127,False,False,True
U00128,False,False,True
U00129,False,False,True
U00130,False,False,True
U00131,True,False,True
U00132,False,False,True
U00133,True,True,False
U00134,False,False,True
U00135,False,False,True
U00136,False,False,True
U00137,False,False,True
U00138,False,False,True
U00139,False,False,True
U00140,True,False,True
U00141,False,False,True
U00142,True,True,False
U00143,False,False,True
U00144,True,True,False
U00145,False,False,True
U00146,False,False,True
U00147,False,False,True
U00148,True,True,False
U00149,False,False,True
U00150,False,False,True
U00151,False,False,True
U00152,True,True,False
U00153,False,False,True
U00154,False,False,True
U00155,False,False,True
U00156,False,False,True
U00157,False,False,True
U00158,True,True,False
U00159,True,True,False
U00160,False,False,True
U00161,False,False,True
U00162,False,False,True
U00163,True,True,False
U00164,False,False,True
U00165,True,True,False
U00166,False,False,True
U00167,False,False,True
U00168,False,False,True
U00169,False,False,True
U00170,False,False,True
U00171,False,False,True
U00172,True,True,False
U00173,False,False,True
U00174,False,False,True
U00175,False,False,True
U00176,False,False,True
U00177,False,False,True
U00178,False,False,True
U00179,False,False,True
U00180,False,False,True
U00181,False,False,True
U00182,True,True,False
U00183,False,False,True
U00184,False,False,True
U00185,True,True,False
U00186,False,False,True
U00187,True,True,False
U00188,True,False,True
U00189,False,False,True
U00190,False,False,True
U00191,False,False,True
U00192,False,False,True
U00193,False,False,True
U00194,False,False,True
U00195,True,False,True
U00196,True,True,False
U00197,False,False,True
U00198,False,False,True
U00199,False,False,True
U00200,False,False,True
U00201,False,False,True
U00202,False,False,True
U00203,True,True,False
U00204,False,False,True
U00205,False,False,True
U00206,True,False,True
U00207,False,False,True
U00208,True,False,True
U00209,False,False,True
U00210,False,False,True
U00211,False,False,True
U00212,False,False,True
U00213,False,False,True
U00214,True,True,False
U00215,False,False,True
U00216,True,True,False
U00217,False,False,True
U00218,True,False,True
U00219,False,False,True
U00220,False,False,True
U00221,False,False,True
U00222,True,True,False
U00223,False,False,True
U00224,False,False,True
U00225,True,True,False
U00226,False,False,True
U00227,True,True,False
U00228,True,True,False
U00229,False,False,True
U00230,False,False,True
U00231,False,False,True
U00232,False,False,True
U00233,True,True,False
U00234,False,False,True
U00235,False,False,True
U00236,False,False,True
U00237,False,False,True
U00238,False,False,True
U00239,False,False,True
U00240,False,False,True
U00241,False,False,True
U00242,False,False,True
U00243,False,False,True
U00244,False,False,True
U00245,True,True,False
U00246,False,False,True
U00247,True,True,False
U00248,False,False,True
U00249,False,False,True
U00250,False,False,True
U00251,True,True,False
U00252,False,False,True
U00253,True,False,True
U00254,False,False,True
U00255,False,False,True
U00256,False,False,True
U00257,False,False,True
U00258,False,False,True
U00259,True,False,True
U00260,False,False,True
U00261,False,False,True
U00262,False,False,True
U00263,False,False,True
U00264,False,False,True
U00265,True,False,True
U00266,False,False,True
U00267,False,False,True
U00268,False,False,True
U00269,False,False,True
U00270,True,True,False
U00271,False,False,True
U00272,False,False,True
U00273,False,False,True
U00274,False,False,True
U00275,False,False,True
U00276,False,False,True
U00277,True,True,False
U00278,False,False,True
U00279,True,False,True
U00280,False,False,True
U00281,True,False,True
U00282,True,False,True
U00283,False,False,True
U00284,True,False,True
U00285,False,False,True
U00286,False,False,True
U00287,False,False,True
U00288,False,False,True
U00289,False,False,True
U00290,False,False,True
U00291,False,False,True
U00292,True,True,False
U00293,False,False,True
U00294,False,False,True
U00295,False,False,True
U00296,False,False,True
U00297,False,False,True
U00298,False,False,True
U00299,False,False,True
U00300,True,True,False
U00301,False,False,True
U00302,False,False,True
U00303,False,False,True
U00304,False,False,True
U00305,True,True,False
U00306,True,True,False
U00307,False,False,True
U00308,False,False,True
U00309,False,False,True
U00310,False,False,True
U00311,False,False,True
U00312,False,False,True
U00313,False,False,True
U00314,False,False,True
U00315,True,False,True
U00316,False,False,True
U00317,False,False,True
U00318,True,False,True
U00319,False,False,True
U00320,False,False,True
U00321,True,False,True
U00322,False,False,True
U00323,False,False,True
U00324,False,False,True
U00325,False,False,True
U00326,False,False,True
U00327,False,False,True
U00328,True,True,False
U00329,False,False,True
U00330,False,False,True
U00331,False,False,True
U00332,False,False,True
U00333,False,False,True
U00334,False,False,True
U00335,False,False,True
U00336,False,False,True
U00337,False,False,True
U00338,False,False,True
U00339,False,False,True
U00340,False,False,True
U00341,True,True,False
U00342,False,False,True
U00343,False,False,True
U00344,True,False,True
U00345,False,False,True
U00346,False,False,True
U00347,True,True,False
U00348,False,False,True
U00349,False,False,True
U00350,False,False,True
U00351,True,True,False
