user_id,event_time,event_name,session_id,status
U00001,2024-03-22 01:19:00,app_install,SU00001_app_,success
U00001,2024-03-22 06:08:00,register_start,SU00001_regi,success
U00001,2024-03-22 14:16:00,register_complete,SU00001_regi,success
U00001,2024-03-22 18:18:00,ekyc_start,SU00001_ekyc,success
U00001,2024-03-22 22:30:00,ekyc_complete,SU00001_ekyc,success
U00001,2024-03-23 05:18:00,account_activated,SU00001_acco,success
U00002,2024-01-15 02:29:00,app_install,SU00002_app_,success
U00002,2024-01-15 03:01:00,register_start,SU00002_regi,failed
U00003,2024-01-04 02:24:00,app_install,SU00003_app_,success
U00003,2024-01-04 14:07:00,register_start,SU00003_regi,success
U00003,2024-01-04 23:14:00,register_complete,SU00003_regi,failed
U00004,2024-04-04 01:05:00,app_install,SU00004_app_,success
U00004,2024-04-04 13:02:00,register_start,SU00004_regi,success
U00004,2024-04-04 17:17:00,register_complete,SU00004_regi,failed
U00005,2024-02-05 01:12:00,app_install,SU00005_app_,success
U00005,2024-02-05 09:03:00,register_start,SU00005_regi,failed
U00006,2024-02-01 02:05:00,app_install,SU00006_app_,success
U00006,2024-02-01 13:03:00,register_start,SU00006_regi,success
U00006,2024-02-01 23:14:00,register_complete,SU00006_regi,success
U00006,2024-02-02 10:08:00,ekyc_start,SU00006_ekyc,failed
U00007,2024-01-29 01:11:00,app_install,SU00007_app_,success
U00007,2024-01-29 08:24:00,register_start,SU00007_regi,success
U00007,2024-01-29 14:09:00,register_complete,SU00007_regi,success
U00007,2024-01-29 18:07:00,ekyc_start,SU00007_ekyc,success
U00007,2024-01-29 21:19:00,ekyc_complete,SU00007_ekyc,success
U00007,2024-01-29 23:06:00,account_activated,SU00007_acco,success
U00008,2024-01-18 01:04:00,app_install,SU00008_app_,success
U00008,2024-01-18 10:25:00,register_start,SU00008_regi,success
U00008,2024-01-18 14:15:00,register_complete,SU00008_regi,success
U00008,2024-01-18 19:03:00,ekyc_start,SU00008_ekyc,success
U00008,2024-01-18 22:10:00,ekyc_complete,SU00008_ekyc,failed
U00009,2024-04-04 02:02:00,app_install,SU00009_app_,success
U00009,2024-04-04 06:11:00,register_start,SU00009_regi,success
U00009,2024-04-04 09:08:00,register_complete,SU00009_regi,success
U00009,2024-04-04 15:02:00,ekyc_start,SU00009_ekyc,success
U00009,2024-04-05 02:27:00,ekyc_complete,SU00009_ekyc,success
U00009,2024-04-05 05:13:00,account_activated,SU00009_acco,success
U00009,2024-04-21 16:00:00,card_payment,SU00009_card,success
U00009,2024-05-05 16:00:00,loan_viewed,SU00009_loan,success
U00010,2024-01-14 00:02:00,app_install,SU00010_app_,success
U00010,2024-01-14 04:27:00,register_start,SU00010_regi,success
U00010,2024-01-14 11:21:00,register_complete,SU00010_regi,success
U00010,2024-01-14 22:19:00,ekyc_start,SU00010_ekyc,success
U00010,2024-01-15 03:03:00,ekyc_complete,SU00010_ekyc,failed
U00011,2024-03-27 00:07:00,app_install,SU00011_app_,success
U00011,2024-03-27 11:05:00,register_start,SU00011_regi,success
U00011,2024-03-27 13:27:00,register_complete,SU00011_regi,failed
U00012,2024-04-04 01:15:00,app_install,SU00012_app_,success
U00012,2024-04-04 02:19:00,register_start,SU00012_regi,success
U00012,2024-04-04 09:13:00,register_complete,SU00012_regi,success
U00012,2024-04-04 17:22:00,ekyc_start,SU00012_ekyc,success
U00012,2024-04-05 00:07:00,ekyc_complete,SU00012_ekyc,success
U00012,2024-04-05 03:15:00,account_activated,SU00012_acco,success
U00012,2024-04-09 08:00:00,qr_payment,SU00012_qr_p,success
U00012,2024-04-14 19:00:00,savings_opened,SU00012_savi,success
U00012,2024-04-23 18:00:00,bill_payment,SU00012_bill,success
U00012,2024-05-07 19:00:00,transfer_initiated,SU00012_tran,success
U00012,2024-05-11 21:00:00,card_payment,SU00012_card,success
U00013,2024-04-24 00:26:00,app_install,SU00013_app_,success
U00013,2024-04-24 09:26:00,register_start,SU00013_regi,success
U00013,2024-04-24 18:13:00,register_complete,SU00013_regi,success
U00013,2024-04-25 06:18:00,ekyc_start,SU00013_ekyc,success
U00013,2024-04-25 14:19:00,ekyc_complete,SU00013_ekyc,success
U00013,2024-04-25 23:09:00,account_activated,SU00013_acco,success
U00013,2024-04-28 10:00:00,bill_payment,SU00013_bill,success
U00013,2024-06-04 09:00:00,transfer_initiated,SU00013_tran,success
U00014,2024-03-10 00:16:00,app_install,SU00014_app_,success
U00014,2024-03-10 09:19:00,register_start,SU00014_regi,success
U00014,2024-03-10 13:04:00,register_complete,SU00014_regi,failed
U00015,2024-01-12 00:09:00,app_install,SU00015_app_,success
U00015,2024-01-12 09:30:00,register_start,SU00015_regi,success
U00015,2024-01-12 21:08:00,register_complete,SU00015_regi,success
U00015,2024-01-13 07:26:00,ekyc_start,SU00015_ekyc,success
U00015,2024-01-13 14:27:00,ekyc_complete,SU00015_ekyc,success
U00015,2024-01-13 17:19:00,account_activated,SU00015_acco,success
U00016,2024-03-16 02:30:00,app_install,SU00016_app_,success
U00016,2024-03-16 12:23:00,register_start,SU00016_regi,success
U00016,2024-03-16 18:19:00,register_complete,SU00016_regi,failed
U00017,2024-02-24 00:07:00,app_install,SU00017_app_,success
U00017,2024-02-24 08:06:00,register_start,SU00017_regi,success
U00017,2024-02-24 16:02:00,register_complete,SU00017_regi,success
U00017,2024-02-24 20:01:00,ekyc_start,SU00017_ekyc,success
U00017,2024-02-25 05:11:00,ekyc_complete,SU00017_ekyc,success
U00017,2024-02-25 15:05:00,account_activated,SU00017_acco,success
U00017,2024-03-09 07:00:00,loan_viewed,SU00017_loan,success
U00018,2024-01-05 00:19:00,app_install,SU00018_app_,success
U00018,2024-01-05 12:25:00,register_start,SU00018_regi,success
U00018,2024-01-05 14:28:00,register_complete,SU00018_regi,success
U00018,2024-01-05 20:12:00,ekyc_start,SU00018_ekyc,failed
U00019,2024-01-04 02:13:00,app_install,SU00019_app_,success
U00019,2024-01-04 12:10:00,register_start,SU00019_regi,success
U00019,2024-01-04 18:06:00,register_complete,SU00019_regi,success
